sample	PC-phenotype	PAM50-phenotype	PSMA-status
35_LuCaP	ARPC	LumA	-
35CR_LuCaP	ARPC	LumA	-
58_LuCaP	ARPC	Basal	+
70_LuCaP	ARPC	LumB	+
70CR_rep2_LuCaP	ARPC	Dual	+
78_rep2_LuCaP	ARPC	LumA	-
81_LuCaP	ARPC	LumA	NA
92_LuCaP	ARPC	LumA	+
96_rep2_LuCaP	ARPC	LumB	+
136_rep2_LuCaP	ARPC	Basal	-
174_1_LuCaP	ARPC	LumA	+
189_3_LuCaP	ARPC	LumA	+
189_4_rep2_LuCaP	ARPC	Dual	+
235_3_LuCaP	ARPC	LumB	NA
49_LuCaP	NEPC	Basal	-
93_LuCaP	NEPC	Basal	-
145_1_LuCaP	NEPC	Basal	-
145_2_LuCaP	NEPC	Basal	-
173_1_rep2_LuCaP	NEPC	Basal	-
208_4_LuCaP	NEPC	Basal	-
