sample_id	AD_cleavage_profile_amplitude	AD_cleavage_profile_center_over_shoulder	AD_cleavage_profile_central_mean	AD_cleavage_profile_contrast	AD_cleavage_profile_phasing_strength	AD_cleavage_profile_shoulder_mean	AD_fraglen_global_max_len	AD_fraglen_global_min_len	AD_fraglen_mode	AD_fraglen_n_intervals	AD_fraglen_pooled_sd_len	AD_fraglen_short_frac_s150	AD_fraglen_total_fragments	AD_fraglen_weighted_mean_len	AD_fraglen_weighted_median_len	AD_motif_frac_AT_rich	AD_motif_frac_CC_GG	AD_motif_frac_CGorGC	AD_motif_motif_entropy	AD_wps_amplitude	AD_wps_center_over_shoulder	AD_wps_central_mean	AD_wps_contrast	AD_wps_phasing_strength	AD_wps_shoulder_mean	NE_cleavage_profile_amplitude	NE_cleavage_profile_center_over_shoulder	NE_cleavage_profile_central_mean	NE_cleavage_profile_contrast	NE_cleavage_profile_phasing_strength	NE_cleavage_profile_shoulder_mean	NE_fraglen_global_max_len	NE_fraglen_global_min_len	NE_fraglen_mode	NE_fraglen_n_intervals	NE_fraglen_pooled_sd_len	NE_fraglen_short_frac_s150	NE_fraglen_total_fragments	NE_fraglen_weighted_mean_len	NE_fraglen_weighted_median_len	NE_motif_frac_AT_rich	NE_motif_frac_CC_GG	NE_motif_frac_CGorGC	NE_motif_motif_entropy	NE_wps_amplitude	NE_wps_center_over_shoulder	NE_wps_central_mean	NE_wps_contrast	NE_wps_phasing_strength	NE_wps_shoulder_mean
LuCaP_136_rep2_recal	0.1100619602551229	1.0816230796548394	0.8958848305876614	0.0676066184829877	-0.34680563372063	0.8282782121046737	200.0	100.0	summary	5974	19.022699042713644	0.7772564093961339	208639	136.06522749821465	136.0	0.2061284962533829	0.1886280931182686	0.0767348037441872	7.7003454637608195	0.6422117026201519	0.9820438810576132	-18.54758400650886	0.3391321212206044	-0.7109243506535492	-18.886716127729464	0.1075937076233637	0.9687811373593712	0.8052832201665999	-0.0259501607408554	-0.3550305713839886	0.8312333809074554	200.0	100.0	summary	11651	18.811353336039577	0.771132144038082	610894	136.6587951428562	137.0	0.1579094560734816	0.2250892081246403	0.0962925580764098	7.648003383423304	1.095587666496428	1.055817075717565	-12.574033549985623	-0.6647418372711513	0.0379097112754607	-11.909291712714474
LuCaP_145_1_recal	0.0947259013024272	1.0386235337192646	0.8137220684285051	0.0302600708800742	-0.3247935381515434	0.7834619975484309	200.0	100.0	summary	5971	21.2643362457163	0.6254789986480817	429020	143.41994079530093	143.5	0.2027836282849578	0.1976826270184379	0.0795008715356723	7.69097648829849	0.5035989944964712	1.00876410918074	-38.00166119783172	-0.3301571742652243	-0.5032919108457783	-37.6715040235665	0.0860356146562392	0.9978437128857937	0.7882066502275566	-0.0017032725879507	-0.332871047646866	0.7899099228155074	200.0	100.0	summary	11651	21.17833177972623	0.6166855173156676	909783	144.08685477745792	144.0	0.1516816516381506	0.2359710233810261	0.0993907263248166	7.636951380731567	1.3180150797647947	1.053500606439723	-19.28698458419113	-0.9794634814069774	-0.7982665902564996	-18.30752110278416
LuCaP_145_2_recal	0.0942760062627156	1.014078052388122	0.8227190215840232	0.0114214891637666	-0.3379711055624268	0.8112975324202566	200.0	100.0	summary	5972	20.832842143346728	0.6966322023150586	372172	139.6627956966134	140.0	0.2027930693534008	0.1984366335949212	0.0796426301692254	7.688449383491502	0.3881340734375342	1.0054760247571897	-33.45451473080512	-0.1822000190903594	-0.3647312341690565	-33.27231471171476	0.0863222469276875	0.9831941515838356	0.8028391817986374	-0.0137230205958104	-0.3480169619783747	0.8165622023944479	200.0	100.0	summary	11652	20.83063024438165	0.6896825040389487	823853	140.18942335586567	140.5	0.1512906144166846	0.2373960445238647	0.0989437700846239	7.63187042645576	1.423074297150421	1.0416840532405285	-17.36733998892778	-0.6949718799023046	-0.2597474274360944	-16.672368109025477
LuCaP_170_2_recal	0.0998103216140453	1.024730021286618	0.8459105790382774	0.020414534747334	-0.3524834768801876	0.8254960442909434	200.0	100.0	summary	5927	17.81266488301405	0.7845517208194492	83129	136.32897063599947	136.0	0.2213197656072659	0.1673104005367791	0.0669145348881145	7.716832741631073	0.4757910334135067	0.9656630664693194	-7.324563707798075	0.2604459732476352	-0.2552467797412499	-7.58500968104571	0.1164137134989666	0.9745018810574324	0.8358129799584624	-0.0218692843913214	-0.3627625554472606	0.8576822643497838	200.0	100.0	summary	11605	17.703194706461073	0.7685046612415427	256584	137.5049340566832	138.0	0.173650823508167	0.1976211960132109	0.0819704543123091	7.681751406507737	0.4538618577302857	1.0600627359287358	-5.687526295120624	-0.3222529935006939	0.0945799126708957	-5.36527330161993
LuCaP_173_1_rep2_recal	0.1085157331800225	0.9925627321622922	0.7768061691900934	-0.005820604936138	-0.3271274941252979	0.7826267741262314	200.0	100.0	summary	5943	20.99048757497425	0.5896976483762598	276830	146.1300942816891	145.5	0.1997052826633922	0.1942336807834723	0.0767657928400449	7.696619938471631	0.7860389858421186	1.0253460357414164	-24.900943009928763	-0.6155387250005369	0.1660161130674424	-24.285404284928227	0.0967419563186844	0.974004648670594	0.7562663319375049	-0.0201841018152731	-0.3285428392397841	0.7764504337527781	200.0	100.0	summary	11632	21.104946124340437	0.5907052947318273	602429	146.05161438111378	145.5	0.1534350090970641	0.2281498924425736	0.0934584959447715	7.648077236843724	1.449742025431501	1.0683197340226147	-12.789683354790368	-0.817908475529709	0.0539197086541731	-11.97177487926066
LuCaP_174_1_recal	0.1050848929639471	1.075893954516982	0.778733478070937	0.0549321454195734	-0.2985833396190052	0.7238013326513635	200.0	100.0	summary	5203	20.126639032557705	0.5412259773440289	53231	147.6206345926246	146.5	0.2122248874132337	0.1883916132600708	0.0774298356143186	7.706971292478039	0.3126785342144149	1.0559727520772018	-4.801930476195661	-0.2545304919159585	-0.1357694858469549	-4.547399984279703	0.1100305754631725	0.9739096131437568	0.751746560752916	-0.0201387873404211	-0.3276417556805524	0.7718853480933372	200.0	100.0	summary	9978	19.59999133012616	0.5252296151441807	124774	148.4279176751567	148.0	0.1626835638901452	0.2226748560464601	0.0971145071956193	7.655723821876055	0.4544803171419409	1.0028973094833782	-2.7173538722729456	-0.0078502704807199	0.0130840873869966	-2.7095036017922256
LuCaP_176CR_rep2_recal	0.0838440671287291	1.028158615521428	0.7577426060014048	0.0207526177230712	-0.303914306413381	0.7369899882783335	200.0	100.0	summary	5666	20.550251942769165	0.5507942740180997	310724	148.37269409508116	147.5	0.1885611693931042	0.202657627395295	0.0755757233107246	7.680748890614398	1.0361838484477914	1.027114049626925	-27.263459691803995	-0.7197085848000597	-0.3145529328893328	-26.54375110700393	0.1199412936083296	0.9565619590834324	0.6835946673419326	-0.0310424357234515	-0.3000539478034102	0.7146371030653842	200.0	100.0	summary	11053	20.65429589654533	0.5342765669650482	866452	149.09715829613182	148.5	0.1466637315941678	0.237572661853262	0.0915301575253051	7.626336794196728	1.673596806710151	1.060749700845594	-18.28813042975241	-1.0473709789849686	0.068363298794992	-17.24075945076744
LuCaP_176_recal	0.0946223041485907	1.0264608839601688	0.811949132536138	0.020931038009659	-0.3272754972792754	0.791018094526479	200.0	100.0	summary	5953	20.038729079132043	0.5943490245019258	334137	146.79520974929446	146.0	0.1908240701676599	0.195855837526906	0.0736857935227221	7.686456444692563	0.9098957221536708	1.0201753416735024	-29.40261560361344	-0.5814763322199639	-0.4300676056288868	-28.821139271393477	0.1171542492103251	0.9617435804733232	0.7461630996084232	-0.0296810180525424	-0.3239705251223551	0.7758441176609656	200.0	100.0	summary	11641	20.040631929834305	0.593929855976448	972827	146.7411235502304	146.0	0.1490210537392824	0.2283301485519382	0.0897529264023442	7.632318894560598	2.383837494067734	1.0639151576375636	-21.585415943224422	-1.2967530848484792	0.3271775257981755	-20.288662858375947
LuCaP_189_3_recal	0.0919479936690023	0.938643243856866	0.6559411044110213	-0.0428772258800195	-0.29647738264749	0.6988183302910408	200.0	100.0	summary	5792	19.61393914571725	0.6930291674884403	45633	141.95393684395066	140.0	0.2313031744074678	0.1498376985654475	0.063108621554805	7.679481829893929	0.2035050562064815	0.9628290929564648	-3.942737115964449	0.152213010498674	-0.0552801514480352	-4.094950126463123	0.091928927806571	0.9750262217033976	0.761108421801429	-0.0194946069784039	-0.3368894367140094	0.780603028779833	200.0	100.0	summary	11505	19.77068859863297	0.6687333246691691	130807	142.69492458354677	141.0	0.1765565854708465	0.1771611152034612	0.083388183391861	7.64529775773389	0.4943488488253309	1.004575858164497	-2.8169794370694925	-0.0128313837641758	0.1548815038648148	-2.8041480533053167
LuCaP_189_4_rep2_recal	0.0617865526766201	0.987198246944434	0.7860608537260163	-0.0101934509782554	-0.3465581687320694	0.7962543047042717	200.0	100.0	summary	5895	18.22043313541556	0.7585514128421218	76654	138.54885589793096	138.0	0.2049239235403102	0.179527804673476	0.0700806750180697	7.711253863535504	0.3609597275885745	0.9687685880288808	-6.724098197101904	0.2167732144941192	-0.1555609333672127	-6.940871411596024	0.1214371446038481	0.9688958124330058	0.8210905186205008	-0.0263592361252139	-0.3599336147756373	0.8474497547457147	200.0	100.0	summary	11603	18.10080380755054	0.7555603275155188	251469	138.82695680183244	139.0	0.1599826791596362	0.2099933289363615	0.0862130842232244	7.666338951541645	0.3497306803776716	1.0323392370751516	-5.394579112035452	-0.1689915161212409	0.2347261135337817	-5.225587595914211
