sample	tumor_fraction
ubc1	0.8283
ubc2	0.5152
ubc3	0.4038
ubc4	0.7689
ubc5	0.05545
ubc6	0.1316
ubc7	0.361
ubc8	0.5541
ubc9	0.7164
ubc10	0.2563
ubc11	0.3216
ubc12	0.2603
ubc13	0.3371
ubc14	0.6498
ubc15	0.4336
ubc17	0.1069
ubc18	0.6064
ubc19	0.3811
ubc20	0.03602
ubc21	0.2887
ubc22	0.4375
ubc23	0.1119
ubc25	0.2581
ubc26	0.2398
ubc27	0.04203
ubc28	0.0
ubc29	0.0
ubc31	0.08694
ubc32	0.2592
ubc33	0.06209
ubc34	0.04033
ubc35	0.1699
ubc36	0.1516
ubc37	0.1694
ubc38	0.03594
ubc39	0.1722
ubc40	0.2238
ubc41	0.1642
ubc42	0.04785
ubc43	0.1191
ubc44	0.3405
ubc45	0.06363
ubc46	0.07228
ubc47	0.06284
ubc48	0.2635
ubc51	0.08748
ubc52	0.1111
ubc53	0.3896
ubc54	0.06189
ubc55	0.2116
ubc56	0.3497
ubc57	0.1425
ubc58	0.1082
ubc59	0.2124
ubc60	0.03375
ubc61	0.05267
ubc62	0.04899
ubc63	0.3253
ubc64	0.03905
ubc65	0.03693
ubc66	0.03575
ubc67	0.02098
ubc68	0.1231
ubc70	0.05122
