	AD_AD-ATAC_mean_coverage_GCcorr	AD_AD-ATAC_central_coverage_GCcorr	AD_AD-ATAC_amplitude_GCcorr	NE_NE-ATAC_mean_coverage_GCcorr	NE_NE-ATAC_central_coverage_GCcorr	NE_NE-ATAC_amplitude_GCcorr
ubc1	0.97293	0.92849	0.78096	0.99647	1.02336	0.16413
ubc10	0.92871	0.88515	0.58201	1.00909	1.0384	0.31257
ubc11	0.90455	0.79664	0.5032	0.9982	1.03852	0.47303
ubc12	0.94738	0.8575	0.70595	1.00009	1.02912	0.25488
ubc13	0.95172	0.87984	0.53249	1.003	1.03271	0.29231
ubc14	0.87921	0.75164	0.88009	1.00192	1.0321	0.16557
ubc15	0.93758	0.84292	0.66075	1.00653	1.04048	0.28907
ubc17	0.9755	0.94428	0.43473	1.00101	1.06197	0.14893
ubc18	0.90904	0.87699	0.56466	1.01124	1.04509	0.29666
ubc19	0.90761	0.79165	1.20141	1.00492	1.0637	0.42135
ubc2	0.90589	0.75059	0.78707	1.00529	1.03076	0.63927
ubc20	0.99391	1.0006	0.43244	0.99413	1.01814	0.58391
ubc21	0.93091	0.82999	0.88759	1.00027	1.02227	0.22542
ubc22	0.9357	0.84492	0.85688	1.00716	1.0304	0.12001
ubc23	0.97929	0.9407	0.6695	1.00035	1.03802	0.059
ubc25	0.95136	0.89545	0.70004	0.99858	1.03288	0.12399
ubc26	0.95597	0.90293	0.36284	0.99922	1.03622	0.07137
ubc27	0.9901	0.96767	0.12871	1.00286	1.03266	0.39054
ubc28	0.9563	0.89767	0.27269	1.00348	1.03729	0.4364
ubc29	0.98683	0.96666	0.47104	1.00134	1.01933	0.54217
ubc3	0.90502	0.79905	0.90983	1.00097	1.03269	0.55035
ubc31	0.97688	0.95295	0.47961	0.99676	1.0265	0.30566
ubc32	0.95218	0.89912	0.41229	0.99783	1.00003	0.30793
ubc33	0.98471	0.97546	0.48109	0.99914	1.0275	0.41669
ubc34	0.98105	0.95693	0.15477	1.00186	1.0504	0.21791
ubc35	0.96013	0.89842	0.58564	1.00209	1.03287	0.16369
ubc36	0.96335	0.92648	0.29619	1.00422	1.04242	0.23431
ubc37	0.97251	0.91754	1.00031	1.00025	1.02595	0.4044
ubc38	0.98513	0.95716	0.52998	0.99875	0.99478	0.29109
ubc39	0.96131	0.87431	0.79468	1.00244	1.03292	0.10326
ubc4	0.86896	0.75584	1.4615	1.00538	1.06166	0.249
ubc40	0.97007	0.95113	0.78379	1.0025	1.00418	0.43742
ubc41	0.97665	0.9246	0.24772	1.00404	1.02889	0.4033
ubc42	0.98543	0.97205	0.34863	0.99566	0.99531	0.35317
ubc43	0.96857	0.92358	0.40669	0.9992	1.01321	0.22771
ubc44	0.94853	0.88718	0.65397	1.00062	1.02287	0.16779
ubc45	0.97684	0.95272	0.51341	0.99821	1.00234	0.29286
ubc46	0.9815	0.94945	0.35077	1.00184	1.00858	0.07582
ubc47	0.98194	0.99697	0.58164	1.00129	1.05554	0.07062
ubc48	0.95584	0.91548	1.17239	1.00023	1.01891	0.15365
ubc5	0.98888	0.98798	0.12504	0.99675	1.00446	0.24802
ubc51	0.97953	0.96824	1.00885	0.99894	1.02336	0.41127
ubc52	0.96378	0.9249	0.31407	0.99465	1.02782	0.34556
ubc53	0.97647	0.94055	0.43328	0.98323	0.97276	0.33912
ubc54	0.98848	0.94756	0.32171	1.00439	1.01145	0.40283
ubc55	0.94148	0.85878	0.43215	1.00032	1.01931	0.26732
ubc56	0.95315	0.91375	0.4025	1.00396	1.02209	0.23196
ubc57	0.95448	0.89819	0.48338	1.00118	1.03504	0.27158
ubc58	0.98332	0.9434	0.88979	1.00326	1.03902	0.33083
ubc59	0.93776	0.851	0.62188	1.00219	1.0111	0.31647
ubc6	0.96871	0.91709	0.44015	1.00277	1.06524	0.21872
ubc60	0.98726	0.93892	0.79377	0.99612	1.01069	0.15285
ubc61	0.98317	0.94146	0.08389	0.99775	1.03059	0.21567
ubc62	0.97959	0.93317	0.18473	1.00603	1.01848	0.16772
ubc63	0.94893	0.90092	0.3572	1.00029	1.01717	0.20591
ubc64	0.98724	0.98604	0.79476	1.00131	0.99035	0.39917
ubc65	0.99398	0.98374	0.48974	1.00029	1.01352	0.15186
ubc66	0.98045	0.93161	0.14641	0.99993	0.99459	0.12032
ubc67	0.98406	0.99358	0.27193	1.00444	1.03161	0.31687
ubc68	0.97396	0.92749	0.27334	1.00364	1.02848	0.59683
ubc7	0.92736	0.79041	1.20394	1.00309	1.0527	0.30389
ubc70	0.9821	0.94482	0.22198	0.9988	1.0142	0.18617
ubc8	0.88316	0.77308	1.67227	0.99949	1.0378	0.15088
ubc9	0.97447	0.92088	0.78023	0.97077	0.97313	0.56018
